program_code,year,ayt_bio,ayt_cog1,ayt_cog2,ayt_dk,ayt_fel,ayt_fiz,ayt_kim,ayt_mat,ayt_tar1,ayt_tar2,ayt_tr,tyt_fen,tyt_mat,tyt_sos,tyt_tr,ydt_dil
103390230,2024,,2.9,5.5,3.5,4.8,,,,4.2,4.8,5.8,0.3,3.7,10.2,23.7,
103390149,2024,,,,,,,,,,,,0.7,5.1,9.7,23.4,
101370272,2024,,,,,,,,,,,,0.3,4.5,9.9,21.5,
206552026,2024,,,,,,,,,,,,2.1,4.2,13.0,27.6,
107390189,2024,,,,,,,,,,,,1.4,5.7,8.4,21.7,
207650838,2024,,,,,,,,,,,,-0.1,1.6,5.0,12.6,
107690154,2024,,,,,,,,,,,,1.7,4.5,9.8,24.9,
104790054,2024,,,,,,,,,,,,1.1,3.4,9.2,21.0,
101150977,2024,,,,,,,,,,,,1.5,6.0,10.9,25.0,
101051376,2024,,,,,,,,,,,,0.8,4.5,10.5,23.6,
110290120,2024,,,,,,,,,,,,2.1,8.0,11.3,25.2,
101490698,2024,,,,,,,,,,,,0.7,3.1,9.3,21.1,
100990026,2024,,,,,,,,,,,,1.8,5.7,9.3,22.2,
104590132,2024,,,,,,,,,,,,1.3,4.3,9.0,22.3,
103290214,2024,,,,,,,,,,,,1.8,3.4,9.6,22.1,
108690161,2024,,,,,,,,,,,,1.4,5.5,9.3,24.1,
105650969,2024,,,,,,,,,,,,0.8,4.4,10.4,23.8,
207650829,2024,,,,,,,,,,,,3.8,8.8,9.1,24.1,
109190059,2024,,,,,,,,,,,,0.9,4.3,9.9,22.3,
112190144,2024,,,,,,,,,,,,1.6,4.2,10.6,23.3,
107890030,2024,,,,,,,,,,,,1.2,2.5,8.9,21.9,
112190242,2024,,,,,,,,,,,,,,,,
108890242,2024,,,,,,,,,,,,0.6,3.2,9.3,22.1,
101190341,2024,,,,,,,,,,,,1.5,8.5,10.5,25.5,
103650657,2024,,,,,,,,,,,,1.0,3.8,10.5,24.1,
206552044,2024,,,,,,,,,,,,0.3,1.0,5.5,12.8,
108690161,2023,,,,,,,,,,,,1.6,7.1,8.9,24.5,
