program_code,year,placed_pref_uni_devlet_count,placed_pref_uni_vakif_count,placed_pref_uni_kktc_count,placed_pref_uni_yurt_disi_count
103390230,2024,144,0,0,0
103390149,2024,862,15,0,0
101370272,2024,984,8,0,0
206552026,2024,21,48,0,0
107390189,2024,912,14,2,0
207650838,2024,201,256,0,0
107690154,2024,886,17,0,0
104790054,2024,709,3,0,0
101150977,2024,1153,31,0,0
101051376,2024,10103,124,12,0
110290120,2024,349,5,0,0
101490698,2024,17235,172,15,1
100990026,2024,702,0,0,0
104590132,2024,778,7,0,0
103290214,2024,1002,6,0,0
108690161,2024,530,0,0,0
105650969,2024,1939,134,0,0
207650829,2024,31,67,0,0
109190059,2024,749,4,0,0
112190144,2024,527,6,0,0
107890030,2024,900,3,0,0
112190242,2024,0,0,0,0
108890242,2024,1278,22,1,0
101190341,2024,911,25,0,0
103650657,2024,698,0,0,0
206552044,2024,201,355,4,0
108690161,2023,472,1,0,0
105650969,2023,909,61,0,0
110290120,2023,315,1,0,0
104590132,2023,818,0,0,0
207650829,2023,28,50,0,0
103290214,2023,1013,12,0,0
101490698,2023,15051,93,0,1
112190144,2023,509,7,0,0
100990026,2023,670,0,0,0
109190059,2023,700,4,0,0
101150977,2023,1177,19,0,0
107690154,2023,725,3,0,0
107390189,2023,985,11,0,0
101370272,2023,925,3,0,0
103650657,2023,658,0,0,0
104790054,2023,716,1,0,0
107890030,2023,962,1,0,0
103390149,2023,736,44,0,0
101190341,2023,810,10,0,0
101051376,2023,9156,67,1,0
207650838,2023,193,290,11,1
206552026,2023,31,70,0,0
206552044,2023,262,436,5,0
108890242,2023,1124,25,1,0
207650838,2022,88,186,0,0
101051376,2022,9182,130,10,0
101190341,2022,968,35,0,0
103390149,2022,980,9,0,0
107890030,2022,886,0,0,0
104790054,2022,791,1,0,0
107690154,2022,923,3,1,0
101490698,2022,15669,253,2,0
103290214,2022,1134,1,4,0
108890242,2022,1155,42,0,0
109190059,2022,696,5,0,0
206552044,2022,158,569,0,0
108690161,2022,513,0,2,0
101370272,2022,960,1,0,0
112190144,2022,516,10,0,0
110290120,2022,366,0,0,0
101150977,2022,1160,53,0,0
107351046,2022,1023,4,0,0
206552026,2022,34,73,3,0
104590132,2022,872,7,1,0
207650829,2022,12,37,0,0
105650969,2022,1167,131,0,0
103650657,2022,752,15,0,0
100990026,2022,716,0,0,0
101150977,2021,1056,73,0,0
108890242,2021,1050,63,1,0
107690154,2021,713,36,8,0
200350941,2021,21,13,0,0
101370272,2021,882,33,0,0
103650657,2021,743,13,0,0
104790054,2021,754,15,0,0
107890030,2021,881,9,4,0
105650969,2021,1447,153,3,0
200350923,2021,33,16,0,0
103390149,2021,819,30,1,0
108690161,2021,557,11,0,0
104590132,2021,693,13,1,0
101190341,2021,655,28,1,0
101451981,2021,13259,198,2,0
103290214,2021,790,34,2,0
207650829,2021,12,85,0,0
101051376,2021,7560,96,1,0
109190059,2021,605,9,0,0
110290120,2021,320,5,0,0
207650838,2021,71,146,0,0
206552026,2021,16,117,0,0
206552044,2021,16,173,0,0
100990026,2021,665,24,0,0
107351046,2021,990,31,0,0
200350923,2020,82,20,0,0
101051376,2020,10618,325,2,0
101150977,2020,1242,38,0,0
107351046,2020,980,19,0,0
200390132,2020,9,4,0,0
103650657,2020,964,2,0,0
207650838,2020,110,200,1,0
202552153,2020,34,101,0,0
205090085,2020,116,172,1,0
202590269,2020,39,109,0,0
207650829,2020,4,66,0,0
200350941,2020,41,26,4,0
101370272,2020,783,3,0,0
206552026,2020,34,121,0,0
205090084,2020,32,141,0,0
108890242,2020,1311,51,0,0
206552044,2020,131,444,9,0
104790054,2020,826,7,0,0
106090061,2020,688,8,0,0
105650969,2020,1497,246,0,0
110290120,2020,312,0,0,0
200390133,2020,0,0,0,0
107890030,2020,744,9,0,0
104590132,2020,747,9,0,0
103290214,2020,937,14,0,0
107690154,2020,788,14,0,0
103390149,2020,898,22,0,0
108690161,2020,559,1,0,0
101190341,2020,783,42,0,0
101451981,2020,12044,149,22,1
100990026,2020,777,1,0,0
200390105,2019,196,214,1,0
106090061,2019,687,2,3,0
108690161,2019,627,8,0,0
107890030,2019,741,21,0,0
101190341,2019,795,74,0,0
101150977,2019,1312,38,1,0
200390106,2019,26,21,0,0
101451981,2019,12992,255,12,2
103650657,2019,1069,1,0,0
206552035,2019,131,419,0,0
100990026,2019,694,0,0,0
200350923,2019,30,26,0,0
110290120,2019,397,11,1,0
202552162,2019,145,491,0,0
101051376,2019,17309,561,7,0
206552026,2019,59,32,0,0
103390149,2019,955,5,2,0
207650874,2019,88,266,12,0
200350941,2019,25,2,0,0
107351046,2019,1130,48,2,0
207650829,2019,10,16,0,0
207650838,2019,14,44,0,0
105650969,2019,1533,296,5,0
202552153,2019,11,53,0,0
206552044,2019,37,114,0,0
107690154,2019,895,22,2,0
108990307,2024,490,6,0,0
107310473,2024,489,2,0,0
103730146,2024,416,2,0,0
102710387,2024,522,3,0,0
300290443,2024,0,0,0,0
101490475,2024,525,2,0,0
107310446,2024,463,19,0,0
101370270,2024,557,1,0,0
102790287,2024,24,0,0,0
101290082,2024,586,10,1,0
109490337,2024,564,1,0,0
109590048,2024,531,0,0,0
107990171,2024,446,40,0,0
108911647,2024,530,15,2,0
104710336,2024,564,18,2,0
300290442,2024,17,0,1,0
300211622,2024,12,19,31,0
101890037,2024,545,1,0,0
100890057,2024,480,9,0,0
112190221,2024,478,9,0,0
104390077,2024,396,4,0,0
111570357,2024,472,0,0,0
111091394,2024,390,62,0,0
107710442,2024,450,4,0,0
104790017,2024,522,0,0,0
101890037,2023,631,2,0,0
107710442,2023,332,3,0,0
111091394,2023,393,111,0,0
100890057,2023,1050,9,0,0
103730146,2023,540,2,0,0
104710336,2023,582,5,0,0
112190221,2023,551,14,6,0
109490337,2023,338,40,0,0
104790017,2023,626,21,0,0
104390077,2023,558,3,0,0
107330202,2023,1124,25,3,0
101370270,2023,653,14,0,0
107310473,2023,591,7,0,0
108911647,2023,806,13,1,0
300290443,2023,7,4,24,0
102790287,2023,0,0,0,0
101290082,2023,747,14,1,0
109590048,2023,830,2,9,0
107310446,2023,1312,1,0,0
111570357,2023,530,1,0,0
108990307,2023,1054,30,1,0
300290442,2023,20,0,4,0
101490475,2023,943,7,3,0
300211622,2023,58,9,47,0
102710387,2023,947,20,1,0
107990171,2023,729,30,0,0
107310473,2022,547,5,1,0
107710442,2022,835,12,10,0
107310446,2022,1498,17,7,0
102790287,2022,3,0,0,0
101370270,2022,759,11,0,0
300290443,2022,0,0,0,0
101290082,2022,764,0,0,0
107910379,2022,901,28,5,0
108911647,2022,1010,23,1,0
109490337,2022,387,6,1,0
104710336,2022,424,2,0,0
109590048,2022,890,7,8,0
107330202,2022,1107,29,0,0
102710387,2022,995,5,0,0
101490475,2022,777,5,1,0
104790017,2022,588,2,0,0
111091394,2022,530,93,9,0
108990307,2022,1122,23,0,0
104390077,2022,747,0,0,0
100890057,2022,1101,35,0,0
101890037,2022,794,0,1,0
300211622,2022,25,27,68,0
300290442,2022,0,14,5,0
108911647,2021,242,10,0,0
300211622,2021,0,0,0,0
109590048,2021,144,0,0,0
104390077,2021,389,0,0,0
111091394,2021,529,54,0,0
101370270,2021,105,4,0,0
104790017,2021,72,0,0,0
109490337,2021,48,0,0,0
102710387,2021,980,17,2,0
300290443,2021,0,0,0,0
107710442,2021,852,28,0,0
102790287,2021,0,0,0,0
107910379,2021,496,13,2,0
100890057,2021,320,7,0,0
107330202,2021,0,0,0,0
107310446,2021,944,15,7,1
108990307,2021,1051,32,1,0
107310473,2021,34,0,0,0
300290442,2021,0,0,0,0
101890037,2021,11,0,0,0
101290082,2021,21,0,0,0
101490475,2021,203,3,0,0
104710336,2021,10,0,0,0
102710387,2020,1011,14,0,0
104790017,2020,1023,10,6,0
108911647,2020,1031,17,1,0
111091394,2020,697,66,0,0
300211622,2020,23,17,8,0
108990307,2020,1038,7,0,0
104710336,2020,1097,3,4,0
100890058,2020,665,5,0,0
101370270,2020,795,0,0,0
107310446,2020,1356,0,2,1
104390077,2020,643,6,0,0
109590048,2020,1113,11,16,0
101290082,2020,794,11,7,1
107910379,2020,855,20,0,0
107710442,2020,947,18,13,0
100890057,2020,1045,13,3,0
101890037,2020,744,6,0,0
107330202,2020,1160,12,0,0
107310473,2020,1133,29,0,0
104710336,2019,1194,37,4,0
100890058,2019,758,11,0,0
107330202,2019,1325,23,0,0
101890037,2019,798,7,0,0
108990307,2019,874,32,0,0
107310446,2019,1500,31,1,0
102710387,2019,1083,14,0,0
104790017,2019,1209,16,0,1
107910379,2019,875,32,0,0
107710442,2019,1034,11,3,1
108911647,2019,1046,13,0,0
107310473,2019,1074,31,2,0
100890057,2019,1055,12,0,0
104390077,2019,793,12,0,0
300211622,2019,0,0,0,0
110390237,2024,376,36,0,0
110390237,2023,362,6,0,0
110390237,2022,317,27,0,0
110390244,2024,401,33,0,0
110390244,2023,376,5,0,0
110390244,2022,358,26,3,0
200351709,2023,14,18,0,0
204190553,2023,84,249,4,0
105290034,2023,1172,16,0,0
103350775,2023,962,59,7,0
200651848,2023,9,29,0,0
101290073,2023,787,7,9,0
202550703,2023,105,524,0,0
201650017,2023,157,240,9,0
201150067,2023,9,13,0,0
209210138,2023,123,205,4,0
101290070,2023,1032,4,3,0
201790263,2023,33,86,0,0
106051352,2023,1350,38,0,0
203590177,2023,6,29,0,0
110670119,2023,693,12,2,0
103550967,2023,606,23,0,0
300350331,2023,50,6,53,0
300150518,2023,48,21,44,0
102890079,2023,1268,18,3,0
101690103,2023,822,9,1,0
202751595,2023,11,92,0,0
112370767,2023,480,17,0,0
106650578,2023,671,55,0,0
104251232,2023,676,76,0,0
110390142,2023,1440,18,0,0
208750390,2023,1,14,0,0
208750166,2023,151,588,6,0
201650044,2023,41,52,0,0
102350381,2023,1256,12,0,0
101451503,2023,541,36,1,0
105190068,2023,743,9,0,0
203050829,2023,13,65,1,0
203051121,2023,95,644,0,0
203550384,2023,22,8,0,0
109490179,2023,654,121,0,0
101850264,2023,1368,27,0,0
203150316,2023,29,59,1,0
201450037,2023,62,456,0,0
109590015,2023,668,5,0,0
102090060,2023,690,17,0,0
104390105,2023,416,0,0,0
210400822,2023,2,22,0,0
201650026,2023,45,24,0,0
201150076,2023,72,115,0,0
100751363,2023,564,30,0,0
200651857,2023,45,33,0,0
104351443,2023,1225,14,0,0
102790186,2023,727,58,0,0
100890075,2023,386,2,0,0
300250508,2023,87,45,51,0
108251017,2023,602,41,0,0
200690734,2023,155,320,3,0
204751871,2023,83,307,1,0
