program_code,year,placed_count,placed_pref_rank_avg,placed_top_1_pref_count,placed_top_3_pref_count,placed_top_10_pref_count,placed_rank_1_count,placed_rank_2_count,placed_rank_3_count,placed_rank_4_count,placed_rank_5_count,placed_rank_6_count,placed_rank_7_count,placed_rank_8_count,placed_rank_9_count,placed_rank_10_count,placed_rank_11_count,placed_rank_12_count,placed_rank_13_count,placed_rank_14_count,placed_rank_15_count,placed_rank_16_count,placed_rank_17_count,placed_rank_18_count,placed_rank_19_count,placed_rank_20_count,placed_rank_21_count,placed_rank_22_count,placed_rank_23_count,placed_rank_24_count
103390230,2024,22,3.5,16,16,20,16,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
103390149,2024,54,9.0,5,13,33,5,7,1,4,4,1,4,1,4,2,1,1,4,3,2,1,4,2,1,0,0,1,1,0
101370272,2024,54,10.2,5,14,29,5,4,5,3,4,2,0,2,2,2,1,3,2,0,3,1,3,4,2,1,2,0,2,1
206552026,2024,8,5.2,2,4,7,2,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
107390189,2024,53,10.8,5,12,25,5,2,5,2,0,3,3,0,3,2,2,4,1,4,1,3,1,4,2,4,1,1,0,0
207650838,2024,34,3.7,14,23,30,14,5,4,2,0,2,1,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
107690154,2024,49,12.1,1,5,21,1,3,1,0,4,1,5,1,2,3,2,4,2,3,1,3,2,2,1,1,2,2,3,0
104790054,2024,41,8.8,5,8,28,5,1,2,1,2,5,4,4,1,3,1,3,2,1,0,1,1,1,1,0,0,0,0,2
101150977,2024,72,9.3,9,20,45,9,8,3,6,5,4,3,1,5,1,2,5,2,0,0,1,1,2,2,3,3,0,6,0
101051376,2024,1260,2.5,718,1023,1212,718,196,109,89,36,17,22,10,9,6,5,8,2,8,1,7,3,3,3,2,2,1,1,2
110290120,2024,32,7.5,8,13,22,8,3,2,4,2,1,0,1,1,0,0,1,1,0,3,0,0,1,0,1,2,1,0,0
101490698,2024,1640,3.6,531,1045,1554,531,319,195,177,161,62,41,30,22,16,12,10,11,5,7,5,5,6,2,4,1,6,8,4
100990026,2024,42,10.8,4,9,19,4,2,3,0,2,2,1,3,2,0,5,1,3,1,2,1,1,1,3,1,2,0,1,1
104590132,2024,49,9.4,6,13,29,6,4,3,1,3,4,2,3,2,1,3,1,1,0,4,1,3,1,0,1,2,3,0,0
