university_id,university_name,old_name,university_type,city
"255","ABDULLAH GÜL ÜNİVERSİTESİ","","devlet","KAYSERİ"
"204","ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ","","vakif","İSTANBUL"
"174","ADA KENT ÜNİVERSİTESİ","","kktc","YURTDIŞI"
"196","ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ","","devlet","ADANA"
"321","ADIYAMAN ÜNİVERSİTESİ","","devlet","ADIYAMAN"
"329","AFYON KOCATEPE ÜNİVERSİTESİ","","devlet","AFYONKARAHİSAR"
"316","AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ","","devlet","AFYONKARAHİSAR"
"145","AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ","","devlet","AĞRI"
"170","AKDENİZ KARPAZ ÜNİVERSİTESİ","","kktc","YURTDIŞI"
"341","AKDENİZ ÜNİVERSİTESİ","","devlet","ANTALYA"
"343","AKSARAY ÜNİVERSİTESİ","","devlet","AKSARAY"
"283","ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ","","devlet","ANTALYA"
"383","ALANYA ÜNİVERSİTESİ","ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ","vakif","ANTALYA"
"276","ALTINBAŞ ÜNİVERSİTESİ","","vakif","İSTANBUL"
"334","AMASYA ÜNİVERSİTESİ","","devlet","AMASYA"
"152","ANADOLU ÜNİVERSİTESİ","","devlet","ESKİŞEHİR"
"160","ANKARA BİLİM ÜNİVERSİTESİ","","vakif","ANKARA"
"151","ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ","","devlet","ANKARA"
"324","ANKARA MEDİPOL ÜNİVERSİTESİ","","vakif","ANKARA"
"209","ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ","","devlet","ANKARA"
"263","ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ","","devlet","ANKARA"
"207","ANKARA ÜNİVERSİTESİ","","devlet","ANKARA"
"146","ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ","","devlet","ANKARA"
"285","ANTALYA BELEK ÜNİVERSİTESİ","ANTALYA AKEV ÜNİVERSİTESİ","vakif","ANTALYA"
"168","ANTALYA BİLİM ÜNİVERSİTESİ","","vakif","ANTALYA"
"258","ARDAHAN ÜNİVERSİTESİ","","devlet","ARDAHAN"
"299","ARKIN YARATICI SANATLAR VE TASARIM ÜNİVERSİTESİ","","kktc","YURTDIŞI"
"372","ARTVİN ÇORUH ÜNİVERSİTESİ","","devlet","ARTVİN"
"382","ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU","","vakif","İSTANBUL"
"127","ATATÜRK ÜNİVERSİTESİ","","devlet","ERZURUM"
"332","ATILIM ÜNİVERSİTESİ","","vakif","ANKARA"
"333","AVRASYA ÜNİVERSİTESİ","","vakif","TRABZON"
"296","AYDIN ADNAN MENDERES ÜNİVERSİTESİ","","devlet","AYDIN"
"171","AZERBAYCAN DEVLET PEDAGOJİ ÜNİVERSİTESİ","","yurt_disi","YURTDIŞI"
"319","AZERBAYCAN DİLLER ÜNİVERSİTESİ","","yurt_disi","YURTDIŞI"
"129","AZERBAYCAN MİMARLIK VE İNŞAAT ÜNİVERSİTESİ","","yurt_disi","YURTDIŞI"
"398","AZERBAYCAN TIP ÜNİVERSİTESİ","","yurt_disi","YURTDIŞI"
"140","BAHÇEŞEHİR KIBRIS ÜNİVERSİTESİ","","kktc","YURTDIŞI"
"215","BAHÇEŞEHİR ÜNİVERSİTESİ","","vakif","İSTANBUL"
"104","BAKÜ DEVLET ÜNİVERSİTESİ","","yurt_disi","YURTDIŞI"
"128","BAKÜ SLAVYAN ÜNİVERSİTESİ","","yurt_disi","YURTDIŞI"
"184","BALIKESİR ÜNİVERSİTESİ","","devlet","BALIKESİR"
"122","BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ","","devlet","BALIKESİR"
"139","BARTIN ÜNİVERSİTESİ","","devlet","BARTIN"
"369","BAŞKENT ÜNİVERSİTESİ","","vakif","ANKARA"
